Pot #,Date,Creek Location,Creek,Oyster Drill Count,Oyster Drill eggs,Stone Crabs,Blue Crab ,Crab Weight,Pred_Index
1,7/28/2014,Upper,Gales,0,0,0,1,40,1
2,7/28/2014,Upper,Gales,0,0,0,0,0,0
3,7/28/2014,Upper,Gales,0,0,0,1,60,1
4,7/28/2014,Upper,Gales,0,0,0,0,0,0
1,7/28/2014,Middle,Gales,0,0,0,4,300,4
2,7/28/2014,Middle,Gales,0,0,0,2,125,2
3,7/28/2014,Middle,Gales,0,0,0,6,500,6
4,7/28/2014,Middle,Gales,0,0,0,4,290,4
1,7/28/2014,Lower,Gales,0,0,0,8,780,8
2,7/28/2014,Lower,Gales,0,0,0,5,560,5
3,7/28/2014,Lower,Gales,0,0,0,8,1050,8
4,7/28/2014,Lower,Gales,0,0,0,5,600,5
1,7/28/2014,Upper,Town,0,1,0,4,400,4
2,7/28/2014,Upper,Town,0,0,0,1,200,1
3,7/28/2014,Upper,Town,0,0,0,0,0,0
4,7/28/2014,Upper,Town,0,0,0,4,600,4
1,7/28/2014,Middle,Town,0,0,0,0,0,0
2,7/28/2014,Middle,Town,0,0,0,5,650,5
3,7/28/2014,Middle,Town,0,0,0,0,0,0
4,7/28/2014,Middle,Town,1,3,0,2,250,3
1,7/28/2014,Lower,Town,13,5,0,4,400,17
2,7/28/2014,Lower,Town,9,1,1,7,700,17
3,7/28/2014,Lower,Town,3,6,3,5,600,11
4,7/28/2014,Lower,Town,8,4,0,5,600,13
